productsid,donations,money,name,name_en
685,1231,245858,"KOUPAT HA'IR SUD",""
28,174,23646,"מתנות לאביונים",""
570,16,14352,"מטה כלפי חסד- 6540",""
427,7,13128,"""היום נכנסת הכלה היתומה לחופה.","Pfeuffer Family Fund"
30,43,8661,"קמחא דפסחא הגדול בעולם",""
892,11,4650,"6747 טוב עין הוא יבורך","6747"
893,6,4505,"6748 ולאחיו יאמר חזק","6748"
616,3,2220,"6054- יתומים היינו",""
623,4,2170,"6617- להקים בתים","6617"
676,4,677,"טו באב! מעמד התרת קללות וישועה ע""י בית דין מיוחד של גדולי הדור המתכנס על תורמי 'קופת העיר' בציון החזון איש ובציון הסנדלר הקדוש להתורמים כמנין שמם","Tu b'Av! The Hataras Klalos and Yeshuah Ceremony on the auspicious day for whoever gives the numerical equivalent of his or her name as a segulah"
2,5,553,"קרן משפחת דרעי",""
506,4,362,"את אלטע לא הצלנו -מצילים את משפחת פיקסלר","We were not able to save Alta Fixler. At least let's help her broken parents."
354,1,354,"הדרך הבטוחה לזכות לשנה טובה: רשכבה""ג מרן שה""ת הגר""ח קניבסקי שליט""א במכתב מיוחד בכתי""ק"" התורמים סך שנ""ד ש""ח (354) ש""ח לקופת העיר יזכו לשנ""ה ימים של שנה טובה ומתוקה","A great way to merit a good year! Maran Sar HaTorah HGR' Chaim Kanievsky shlit'a in a special letter in his own handwriting: Whoever contributes 354 shekels [$100] to Kupat Ha'ir should merit 354 days of a good and sweet year"
363,3,350,"10.000 סלי מזון עבור משפחות נזקקות לחג הסוכות","Thousands of families are awaiting your generous support to prepare for Sukkos."
665,5,296,"1437","1437"
422,4,275,"לב מי לא יחרד: האבא נפטר בפתאומיות - האלמנה והיתומים עומדים על סף קריסה","It's so frightening: The father passed away suddenly; the widow and orphans are standing on the brink of collapse"
486,3,244,"קרן עוללים: שטר שותפות עם מרן שה׳׳ת רבי חיים קנייבסק וגזירת מלך לפרנסה ברווח","Fund Olelim: a certificate of partnership with Maran Sar HaTorah, With The Historic Decree Of A Abundant Parnassah: ""Whoever gives a significant sum (900$) to Olelim fund for families with hungry children, will merit abundant parnosah, midda k'neged midda And all has been signed and confirmed."""
1015,2,210,"המקרב את קרוביו",""
704,2,131,"סגולה לפרנסה בשפע: סכין מכסף עם חריטה אישית! מתנתו של מרן הגר""ש גלאי שליט""א!","A Segulah For Abundant Parnassah- A Silver Knife with A Personal Engraving!"
739,3,78,"שטר הניסים שייחתם במיכלשטט על ידי מרן רבי שמעון גלאי שליט""א, עמוד התפילה של דורנו, ומרן הגר""י פישהוף שליט""א","Miracles in Michelstadt"
941,1,26,"מסע התורה לוולוז'ין, ראדין ומיר בראשות מרן המשגיח רבי בנימין פינקל שליט""א","The Torah Trip to Volozhin-Radin-Mir Headed by Maran the Mashgiach Rabbi Binyamin Finkel shlit""a"
425,2,10,"אסון בלתי נתפס: בשבוע השלושים ואחד להריונה - האשה הצעירה אסנת בן שטרית נפטרה מקורונה והשאירה 4 יתומים כשהקטן עוד לא בן שנה","An unfathomable tragedy: A young woman, in the middle of her pregnancy, passed away from Corona and left 4 young children at home, the youngest still an infant"